id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,images
10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011,Casual,Wrangler Men Motor Rider Red T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737608/10866_tyae67.jpg""]"
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395629/10065_v5tj3r.jpg""]"
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737597/10859_ahcb2n.jpg""]"
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763400072/10257_clwdro.jpg""]"
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Carlton London Men Formal Brown Formal Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732506/10633_nwmtp1.jpg""]"
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728945/10401_gfvekf.jpg""]"
10861,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Wrangler Men Dirt Riders White T-Shirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763737600/10861_rj0rpw.jpg""]"
10439,Men,Apparel,Topwear,Tshirts,Brown,Fall,2011,Casual,Flying Machine Men Walnut Brown Tshirts,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728753/10439_fnhxrd.jpg""]"
10096,Women,Footwear,Shoes,Sports Shoes,Blue,Fall,2011,Sports,Reebok Women Reeflex Run Blue Sports Shoes,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763395625/10096_l4vwdy.jpg""]"
10406,Women,Apparel,Dress,Dresses,Grey,Fall,2011,Casual,United Colors of Benetton Women Solid Grey Dresses,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763728957/10406_iregjh.jpg""]"
10634,Men,Footwear,Shoes,Formal Shoes,Black,Winter,2012,Formal,Carlton London Men Black Oxford Wingtip Brogues,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763732507/10634_xf6b8h.jpg""]"
10250,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Hahk Brown Handbags,"[""https://res.cloudinary.com/dt6wmon6z/image/upload/v1763509106/10250_maixx3.jpg""]"
